state,incidentType,total_disasters,avg_monthly,max_monthly,months_with_data
SC,Severe Storm,61,15.25,38,4
GA,Severe Ice Storm,61,30.5,45,2
AK,Flood,61,4.07,10,15
SC,Severe Ice Storm,61,15.25,26,4
NC,Flood,60,12.0,19,5
AK,Biological,59,59.0,59,1
ID,Severe Storm,59,7.38,18,8
IN,Tornado,59,14.75,39,4
CA,Biological,58,58.0,58,1
KS,Tornado,58,11.6,27,5
NH,Flood,57,5.18,10,11
SC,Flood,57,14.25,36,4
CA,Freezing,57,19.0,33,3
FL,Flood,56,5.6,13,10
GA,Flood,56,11.2,23,5
MT,Biological,56,56.0,56,1
NJ,Snowstorm,55,11.0,21,5
KS,Severe Ice Storm,55,27.5,35,2
WV,Biological,55,55.0,55,1
ND,Biological,53,53.0,53,1
AL,Tornado,51,12.75,28,4
MT,Fire,51,17.0,48,3
TX,Tornado,48,3.69,11,13
WI,Tornado,47,7.83,20,6
SC,Biological,46,46.0,46,1
NE,Snowstorm,46,23.0,31,2
NC,Tropical Storm,45,45.0,45,1
CT,Hurricane,45,6.43,8,7
ID,Biological,44,44.0,44,1
NC,Tornado,42,10.5,14,4
TX,Coastal Storm,42,21.0,31,2
NE,Tornado,42,7.0,24,6
CT,Severe Storm,41,5.12,8,8
CA,Coastal Storm,40,40.0,40,1
WA,Volcanic Eruption,39,39.0,39,1
MA,Hurricane,39,9.75,13,4
MN,Tornado,39,13.0,19,3
WA,Biological,39,39.0,39,1
MA,Flood,39,5.57,8,7
VA,Freezing,39,39.0,39,1
AZ,Severe Storm,38,4.75,8,8
FL,Tornado,38,38.0,38,1
MS,Winter Storm,38,38.0,38,1
MP,Typhoon,38,2.38,4,16
PR,Tropical Storm,38,38.0,38,1
VA,Tropical Storm,37,37.0,37,1
VI,Hurricane,36,3.27,6,11
OR,Biological,36,36.0,36,1
LA,Coastal Storm,35,17.5,27,2
GA,Tropical Storm,35,35.0,35,1
MD,Severe Storm,35,5.0,15,7
TN,Winter Storm,34,17.0,23,2
KY,Tropical Storm,34,34.0,34,1
PR,Earthquake,34,34.0,34,1
VA,Severe Ice Storm,33,33.0,33,1
NM,Biological,33,33.0,33,1
NM,Fire,32,10.67,21,3
WV,Hurricane,31,10.33,18,3
MA,Snowstorm,31,7.75,14,4
WA,Earthquake,30,15.0,24,2
MO,Tornado,29,7.25,17,4
CA,Earthquake,29,2.42,12,12
UT,Biological,29,29.0,29,1
NV,Severe Storm,29,4.14,7,7
WA,Fire,28,5.6,10,5
NE,Severe Ice Storm,28,14.0,20,2
NE,Winter Storm,28,28.0,28,1
IL,Severe Ice Storm,28,14.0,18,2
CO,Severe Storm,28,9.33,14,3
ND,Snowstorm,27,13.5,20,2
CO,Tornado,27,27.0,27,1
IN,Severe Ice Storm,26,26.0,26,1
FL,Coastal Storm,25,12.5,14,2
ID,Fire,25,12.5,15,2
OR,Fire,25,12.5,20,2
MD,Biological,24,24.0,24,1
MH,Drought,24,24.0,24,1
RI,Severe Storm,24,3.43,5,7
NY,Severe Ice Storm,23,11.5,16,2
TX,Winter Storm,23,23.0,23,1
LA,Tornado,23,5.75,10,4
WY,Biological,23,23.0,23,1
WY,Flood,23,3.83,12,6
IA,Tornado,22,5.5,9,4
NJ,Drought,21,21.0,21,1
NJ,Biological,21,21.0,21,1
WV,Mud/Landslide,21,21.0,21,1
FM,Typhoon,20,1.54,3,13
AS,Hurricane,20,5.0,5,4
NH,Hurricane,20,5.0,7,4
WY,Severe Storm,20,6.67,15,3
NV,Flood,19,3.17,6,6
RI,Hurricane,19,4.75,5,4
MI,Tornado,19,6.33,16,3
MN,Severe Ice Storm,19,9.5,12,2
ME,Hurricane,18,6.0,9,3
AS,Typhoon,18,4.5,5,4
AR,Hurricane,18,18.0,18,1
MH,Typhoon,18,6.0,10,3
KS,Winter Storm,17,17.0,17,1
SD,Winter Storm,17,17.0,17,1
AR,Snowstorm,17,17.0,17,1
CT,Flood,17,5.67,8,3
NV,Biological,17,17.0,17,1
TX,Freezing,16,8.0,10,2
MA,Coastal Storm,16,8.0,9,2
MA,Biological,15,15.0,15,1
AZ,Biological,15,15.0,15,1
HI,Severe Storm,15,1.88,3,8
RI,Snowstorm,15,5.0,5,3
SC,Tropical Storm,14,14.0,14,1
HI,Flood,14,1.27,2,11
VT,Biological,14,14.0,14,1
VT,Hurricane,14,14.0,14,1
TN,Tropical Storm,14,14.0,14,1
NY,Drought,14,14.0,14,1
CT,Snowstorm,14,7.0,8,2
PA,Drought,13,13.0,13,1
AR,Winter Storm,13,13.0,13,1
ND,Winter Storm,13,13.0,13,1
DE,Hurricane,13,2.17,4,6
PA,Tropical Storm,13,13.0,13,1
IA,Snowstorm,13,13.0,13,1
MI,Severe Ice Storm,13,13.0,13,1
PA,Tornado,11,11.0,11,1
ME,Freezing,11,11.0,11,1
AK,Freezing,11,5.5,10,2
NY,Tropical Storm,11,11.0,11,1
WI,Snowstorm,11,11.0,11,1
GU,Typhoon,11,1.0,1,11
WV,Fire,10,10.0,10,1
NH,Severe Ice Storm,10,10.0,10,1
NH,Biological,10,10.0,10,1
NJ,Severe Ice Storm,10,10.0,10,1
MI,Freezing,10,10.0,10,1
VA,Earthquake,10,10.0,10,1
AK,Mud/Landslide,10,2.5,5,4
LA,Winter Storm,9,9.0,9,1
ME,Coastal Storm,9,3.0,5,3
ND,Tornado,9,9.0,9,1
MI,Snowstorm,9,9.0,9,1
HI,Hurricane,9,4.5,6,2
AK,Earthquake,9,4.5,6,2
VT,Severe Ice Storm,9,4.5,7,2
OR,Fishing Losses,8,8.0,8,1
ID,Volcanic Eruption,8,8.0,8,1
LA,Snowstorm,8,8.0,8,1
CT,Biological,8,8.0,8,1
ME,Fishing Losses,8,8.0,8,1
MA,Fishing Losses,8,8.0,8,1
SC,Tornado,7,7.0,7,1
UT,Severe Storm,7,2.33,4,3
VI,Flood,7,2.33,3,3
AS,Severe Storm,7,3.5,5,2
DC,Severe Storm,7,1.0,1,7
DE,Snowstorm,7,2.33,3,3
NC,Tropical Depression,7,7.0,7,1
VI,Severe Storm,7,2.33,3,3
MA,Severe Ice Storm,7,7.0,7,1
MH,Flood,6,6.0,6,1
NY,Earthquake,6,6.0,6,1
WA,Fishing Losses,6,6.0,6,1
GA,Freezing,6,6.0,6,1
HI,Earthquake,6,2.0,4,3
WV,Severe Ice Storm,5,5.0,5,1
MP,Biological,5,5.0,5,1
RI,Biological,5,5.0,5,1
NH,Winter Storm,5,5.0,5,1
DE,Severe Storm,5,1.25,2,4
ME,Snowstorm,5,2.5,4,2
MI,Dam/Levee Break,5,5.0,5,1
HI,Biological,5,5.0,5,1
CA,Hurricane,5,5.0,5,1
MT,Other,5,5.0,5,1
AZ,Fire,5,2.5,4,2
AS,Flood,5,5.0,5,1
CT,Tornado,5,1.67,2,3
AS,Earthquake,5,5.0,5,1
AS,Drought,5,5.0,5,1
AS,Biological,5,5.0,5,1
OR,Earthquake,5,2.5,4,2
CA,Fishing Losses,4,4.0,4,1
MN,Snowstorm,4,4.0,4,1
IA,Winter Storm,4,4.0,4,1
FM,Drought,3,3.0,3,1
MD,Tornado,3,3.0,3,1
DE,Drought,3,3.0,3,1
NJ,Coastal Storm,3,3.0,3,1
ID,Earthquake,3,3.0,3,1
WA,Severe Ice Storm,3,3.0,3,1
OR,Tsunami,3,3.0,3,1
HI,Tsunami,3,3.0,3,1
VI,Biological,3,3.0,3,1
HI,Volcanic Eruption,3,1.0,1,3
DE,Biological,3,3.0,3,1
DC,Hurricane,3,1.0,1,3
AK,Snowstorm,3,3.0,3,1
CA,Tsunami,3,3.0,3,1
MP,Tropical Storm,3,3.0,3,1
NY,Tornado,3,3.0,3,1
NH,Coastal Storm,3,1.0,1,3
NH,Snowstorm,3,3.0,3,1
VI,Tropical Storm,3,3.0,3,1
AK,Fire,2,1.0,1,2
DC,Snowstorm,2,1.0,1,2
WA,Mud/Landslide,2,1.0,1,2
DE,Flood,2,2.0,2,1
WY,Severe Ice Storm,2,2.0,2,1
WY,Fire,2,2.0,2,1
GU,Severe Storm,2,1.0,1,2
WY,Tornado,2,1.0,1,2
HI,Fire,2,2.0,2,1
MA,Fire,2,1.0,1,2
MT,Straight-Line Winds,2,2.0,2,1
ND,Fire,2,2.0,2,1
ME,Winter Storm,2,2.0,2,1
UT,Earthquake,2,2.0,2,1
AK,Coastal Storm,2,1.0,1,2
MA,Tornado,2,2.0,2,1
OH,Hurricane,2,2.0,2,1
OH,Mud/Landslide,2,2.0,2,1
HI,Typhoon,2,2.0,2,1
WV,Tropical Storm,1,1.0,1,1
NY,Human Cause,1,1.0,1,1
SD,Tornado,1,1.0,1,1
TN,Fire,1,1.0,1,1
NV,Fire,1,1.0,1,1
OK,Human Cause,1,1.0,1,1
MT,Tornado,1,1.0,1,1
CA,Dam/Levee Break,1,1.0,1,1
MP,Flood,1,1.0,1,1
DC,Biological,1,1.0,1,1
CO,Dam/Levee Break,1,1.0,1,1
TX,Other,1,1.0,1,1
HI,Mud/Landslide,1,1.0,1,1
DC,Earthquake,1,1.0,1,1
MH,Fire,1,1.0,1,1
MH,Coastal Storm,1,1.0,1,1
UT,Tornado,1,1.0,1,1
DE,Coastal Storm,1,1.0,1,1
KY,Toxic Substances,1,1.0,1,1
ID,Snowstorm,1,1.0,1,1
FM,Flood,1,1.0,1,1
GU,Biological,1,1.0,1,1
GU,Earthquake,1,1.0,1,1
GU,Hurricane,1,1.0,1,1
VA,Terrorist,1,1.0,1,1
