sector_code,sector
0,Construction & Real Estate
1,Consulting
2,Education
3,Energy
4,Finance
5,Government
6,Healthcare
7,Legal
8,Manufacturing
9,Marketing & Creative
10,Media & Entertainment
11,Nonprofit
12,Other
13,Research
14,Retail & Hospitality
15,Tech
16,Transportation
